sku,has_packaging,category,unit_weight_grams,packaging_type
alias-93184,yes,plastic,3.0,sachet
alias-18444,yes,plastic,3.0,flowpack
alias-28108,yes,plastic,7.0,flowpack
alias-25960,yes,plastic,2.5,flowpack
alias-71800,yes,plastic,4.0,flowpack
alias-71800,yes,plastic,4.0,flowpack
alias-60422,yes,plastic,12.0,sachet
alias-60422,yes,mixed,0.1,label
alias-60422,yes,plastic,12.5,flowpack
alias-13576,yes,plastic,0.6,flowpack
alias-13576,yes,plastic,0.1,label
alias-66198,yes,plastic,40.6,thermoform
alias-66198,yes,paper,1.1,label
alias-66198,yes,paper,1.1,label
alias-66198,yes,plastic,40.6,thermoform
alias-26676,yes,mixed,0.1,label
alias-26676,yes,plastic,14.5,flowpack
alias-49258,yes,mixed,7.0,sachet
alias-50802,yes,plastic,3.0,flowpack
alias-47131,yes,plastic,20.3,thermoform
alias-47131,yes,paper,1.1,label
alias-47131,yes,plastic,20.3,thermoform
alias-47131,yes,paper,1.1,label
alias-19534,yes,plastic,40.6,thermoform
alias-19534,yes,plastic,40.6,thermoform
alias-19534,yes,paper,1.1,label
alias-19534,yes,paper,1.1,label
alias-31634,yes,paper,1.386,sachet
alias-46246,yes,mixed,7.0,sachet
alias-51102,yes,paper,1.806,flowpack
alias-51102,yes,paper,1.806,sachet
alias-69394,yes,mixed,10.7,sachet
alias-36820,yes,paper,1.386,sachet
alias-60741,yes,paper,1.806,flowpack
alias-24999,yes,paper,1.386,sachet
alias-53214,yes,mixed,7.0,sachet
alias-44895,yes,paper,1.806,sachet
alias-63846,yes,plastic,12.0,sachet
alias-63846,yes,paper,1.1,label
alias-63846,yes,plastic,0.6,flowpack
alias-14226,yes,paper,1.806,sachet
alias-48379,yes,paper,1.806,sachet
alias-60811,yes,paper,1.806,sachet
alias-24020,yes,mixed,7.0,sachet
alias-24020,yes,mixed,3.6,flowpack
alias-52857,yes,paper,1.806,sachet
alias-28075,yes,plastic,40.6,thermoform
alias-28075,yes,paper,1.1,label
alias-28075,yes,plastic,40.6,thermoform
alias-28075,yes,paper,1.1,label
alias-51898,yes,plastic,40.6,thermoform
alias-51898,yes,plastic,40.6,thermoform
alias-51898,yes,paper,1.1,label
alias-51898,yes,paper,1.1,label
alias-63816,yes,plastic,7.5,flowpack
alias-63816,yes,plastic,12.0,sachet
alias-63816,yes,mixed,0.1,label
alias-85464,yes,plastic,0.6,flowpack
alias-99464,yes,plastic,3.0,sachet
alias-99464,yes,plastic,3.0,sachet
alias-99464,yes,mixed,0.1,label
alias-99464,yes,paper,1.1,label
alias-38308,yes,mixed,7.0,sachet
alias-38308,yes,mixed,3.6,flowpack
alias-33195,yes,mixed,3.6,flowpack
alias-33195,yes,mixed,7.0,sachet
alias-61627,yes,mixed,7.0,sachet
alias-15180,yes,mixed,7.0,sachet
alias-85768,yes,mixed,10.7,sachet
alias-43890,yes,plastic,20.3,thermoform
alias-43890,yes,plastic,20.3,thermoform
alias-43890,yes,paper,1.1,label
alias-43890,yes,paper,1.1,label
alias-71891,yes,plastic,20.5,thermoform
alias-71891,yes,plastic,20.5,thermoform
alias-71891,yes,paper,1.1,label
alias-71891,yes,paper,1.1,label
alias-26721,yes,paper,1.1,label
alias-26721,yes,plastic,20.3,thermoform
alias-26721,yes,plastic,20.3,thermoform
alias-26721,yes,paper,1.1,label
alias-12891,yes,plastic,5.4,sachet
alias-18196,yes,paper,1.1,label
alias-18196,yes,plastic,20.5,thermoform
alias-18196,yes,plastic,20.5,thermoform
alias-18196,yes,paper,1.1,label
alias-22732,yes,plastic,20.5,thermoform
alias-22732,yes,plastic,20.3,thermoform
alias-22732,yes,paper,1.1,label
alias-22732,yes,paper,1.1,label
alias-17264,yes,plastic,40.6,thermoform
alias-17264,yes,paper,1.1,label
alias-17264,yes,paper,1.1,label
alias-17264,yes,plastic,40.6,thermoform
alias-79344,yes,paper,1.1,label
alias-79344,yes,paper,1.1,label
alias-79344,yes,plastic,40.6,thermoform
alias-79344,yes,plastic,40.6,thermoform
alias-92020,yes,paper,1.1,label
alias-92020,yes,paper,1.1,label
